INCITS	pop2013	votes_dem	votes_gop	total_votes	pop_estimate
1001	55246	5908	18110	24661	55246
1003	195540	18409	72780	94090	195540
1005	27076	4848	5431	10390	27076
1007	22512	1874	6733	8748	22512
1009	57872	2150	22808	25384	57872
1011	10639	3530	1139	4701	10639
1013	20265	3716	4891	8685	20265
1015	116736	13197	32803	47376	116736
1017	34162	5763	7803	13778	34162
1019	26203	1524	8809	10503	26203
1021	43951	2909	15068	18255	43951
1023	13426	3109	4102	7268	13426
1025	25207	5712	7109	12936	25207
1027	13486	1234	5230	6572	13486
1029	14994	684	5738	6532	14994
1031	50938	4194	15825	20513	50938
1033	54520	7296	16718	24626	54520
1035	12887	3069	3413	6543	12887
1037	10898	1780	3376	5223	10898
1039	37886	2379	13222	15818	37886
1041	13986	1663	4511	6252	13986
1043	80811	3730	32734	37278	80811
1045	49884	4408	13798	18617	49884
1047	41996	12826	5784	18730	41996
1049	71013	3682	21779	26086	71013
1051	80902	8436	27619	36905	80902
1053	37983	4698	10282	15213	37983
1055	103931	10350	32132	43474	103931
1057	16909	1358	6705	8196	16909
1059	31532	2197	9466	11955	31532
1061	26727	1522	9967	11659	26727
1063	8744	4006	838	4862	8744
1065	15406	4772	3172	8010	15406
1067	17296	2286	5623	8017	17296
1069	103668	10547	30567	42030	103668
1071	52951	3663	16643	20785	52951
1073	659479	151581	130614	290111	659479
1075	14236	1035	5819	6931	14236
1077	92797	9877	27735	38813	92797
1079	33587	3611	10732	14623	33587
1081	150933	20987	34321	57668	150933
1083	88845	9340	28824	39400	88845
1085	10703	4882	1751	6676	10703
1087	19688	7237	1394	8748	19688
1089	346892	62435	89199	159473	346892
1091	20155	5607	5224	10948	20155
1093	30334	1432	11273	12912	30334
1095	94760	4913	29217	34965	94760
1097	414079	68429	91087	163387	414079
1099	22236	4310	5771	10185	22236
1101	226659	58669	33928	94572	226659
1103	119787	11216	37392	49991	119787
1105	10020	3823	1403	5255	10020
1107	19401	3972	5454	9494	19401
1109	33339	5039	7681	13025	33339
1111	22727	2290	7697	10130	22727
1113	59585	9577	9210	19136	59585
1115	86308	5550	31579	37937	86308
1117	204180	22927	72846	99208	204180
1119	13361	4739	1581	6391	13361
1121	81096	12108	20596	33218	81096
1123	41203	5271	12967	18504	41203
1125	200821	31746	47701	81708	200821
1127	65998	4486	24208	29243	65998
1129	16877	2366	6031	8492	16877
1131	11307	4329	1737	6095	11307
1133	24146	871	9225	10255	24146
4001	71934	12196	5315	18659	71934
4003	129473	15291	25036	43147	129473
4005	136539	25308	16573	44929	136539
4007	53053	6746	13672	21398	53053
4009	37482	3301	8025	11939	37482
4011	9049	1092	1892	3243	9049
4012	20324	1318	3381	4931	20324
4013	4009412	549040	590465	1201934	4009412
4015	203030	16485	54656	74189	203030
4017	107322	15362	18165	35409	107322
4019	996554	195649	147019	360762	996554
4021	389350	35737	53857	93805	389350
4023	46768	10684	3650	14926	46768
4025	215133	29705	58862	92780	215133
4027	201201	18336	20586	40759	201201
5001	18777	1939	3825	6167	18777
5003	21283	2408	5338	8027	21283
5005	40957	4163	14655	19572	40957
5007	237297	27894	60751	94262	237297
5009	37396	2925	12225	15912	37396
5011	11249	1317	2163	3617	11249
5013	5241	636	1554	2250	5241
5015	27808	3334	6773	10656	27808
5017	11335	2350	1716	4149	11335
5019	22743	3606	4398	8365	22743
5021	15402	1999	3779	5978	15402
5023	25686	2101	9454	11968	25686
5025	8593	723	2460	3299	8593
5027	24164	3140	5456	8837	24164
5029	21245	2655	4844	7837	21245
5031	101488	10474	22798	34968	101488
5033	61640	4476	16655	22155	61640
5035	49746	8368	6953	15798	49746
5037	17548	1995	4577	6831	17548
5039	7933	1165	1507	2741	7933
5041	12505	2227	1915	4226	12505
5043	18785	2364	3967	6552	18785
5045	119580	14525	29170	46364	119580
5047	18034	1376	5034	6698	18034
5049	12304	1067	3470	4744	12304
5051	97173	12283	26053	40337	97173
5053	18019	1407	5160	6855	18019
5055	43097	3056	10698	14422	43097
5057	22474	2371	4391	6984	22474
5059	33500	3137	8153	11815	33500
5061	13581	1350	3155	4634	13581
5063	36997	2878	9925	13443	36997
5065	13368	1111	4042	5396	13368
5067	17615	1583	3262	5093	17615
5069	73191	15721	9231	25683	73191
5071	25846	2421	6072	8997	25846
5073	7252	1028	1750	2835	7252
5075	17011	1263	4064	5629	17011
5077	10015	1735	1229	3004	10015
5079	14031	1252	2455	3814	14031
5081	12730	1397	3604	5192	12730
5083	22082	1712	5737	7839	22082
5085	70753	5638	19902	26766	70753
5087	15701	1587	4917	6782	15701
5089	16430	1377	5077	6718	16430
5091	43402	4273	11293	16015	43402
5093	44765	5621	6988	12995	44765
5095	7682	1298	1400	2766	7682
5097	9226	735	2573	3445	9226
5099	8799	1156	2001	3233	8799
5101	8064	699	2875	3731	8064
5103	25002	4320	5347	9881	25002
5105	10345	1035	2979	4213	10345
5107	20399	4292	2443	6894	20399
5109	11177	684	3150	3956	11177
5111	24145	1878	3149	5283	24145
5113	20406	1210	6606	8121	20406
5115	62547	4818	15694	21545	62547
5117	8374	812	2503	3404	8374
5119	391284	89377	61182	157728	391284
5121	17692	1425	4508	6313	17692
5123	27260	4031	3195	7412	27260
5125	114404	13247	35852	51971	114404
5127	10950	507	2378	3017	10950
5129	8023	601	2955	3698	8023
5131	127342	12184	28769	43557	127342
5133	17366	1075	3281	4517	17366
5135	17049	1472	5405	7190	17049
5137	12581	1189	4081	5527	12581
5139	40694	5667	10201	16338	40694
5141	16932	1547	5382	7111	16932
5143	216410	32296	40418	78153	216410
5145	78483	5157	21038	27451	78483
5147	7072	1117	1344	2550	7072
5149	21893	1472	4600	6389	21893
6001	1578891	486351	91189	613195	1578891
6003	1159	318	211	575	1159
6005	36519	5904	10239	17186	36519
6007	222090	38676	42193	87847	222090
6009	44515	7738	13072	22334	44515
6011	21358	2659	3551	6594	21358
6013	1094205	286658	105819	415972	1094205
6015	27873	3485	5134	9361	27873
6017	181737	35243	47633	89228	181737
6019	955272	123660	113949	250264	955272
6021	27940	3065	5788	9379	27940
6023	134493	19596	10883	33636	134493
6025	176584	28467	11295	41751	176584
6027	18467	3155	4248	7996	18467
6029	864124	86481	119164	217725	864124
6031	150960	12902	17446	32250	150960
6033	63860	6240	5752	13045	63860
6035	32163	2224	7574	10422	32163
6037	10017068	1893770	620285	2652072	10017068
6039	152389	13283	19221	34263	152389
6041	258365	86650	17531	109941	258365
6043	17755	3122	5185	8877	17755
6045	87192	6905	3571	11435	87192
6047	263228	21856	18486	42523	263228
6049	9147	798	2413	3359	9147
6051	14074	2696	2080	5154	14074
6053	428826	64733	26378	96676	428826
6055	140326	26161	11946	40393	140326
6057	98200	16199	14686	33258	98200
6059	3114363	556544	472669	1092116	3114363
6061	367309	61969	78977	150532	367309
6063	18859	3224	5079	8830	18859
6065	2292507	339145	309514	683612	2292507
6067	1462131	273768	163024	467526	1462131
6069	57600	10050	6471	17572	57600
6071	2088371	312517	253962	598783	2088371
6073	3211252	567243	386807	1011651	3211252
6075	837442	312443	34493	365295	837442
6077	704379	89791	68316	166647	704379
6079	276443	63001	52672	124575	276443
6081	747373	219580	53731	287499	747373
6083	435697	100120	53740	164224	435697
6085	1862041	483472	137452	659148	1862041
6087	269419	85185	20158	113509	269419
6089	178980	20471	47587	72554	178980
6091	3047	601	1048	1804	3047
6093	43799	7106	11212	19836	43799
6095	424788	97159	49595	156067	424788
6097	495025	116027	37421	164060	495025
6099	525491	73939	72960	156141	525491
6101	95350	11831	16780	30429	95350
6103	63057	6571	14981	22875	63057
6105	13448	1876	2409	4716	13448
6107	454143	39099	50488	94571	454143
6109	53874	8580	13486	23472	53874
6111	839620	170489	118764	307881	839620
6113	204593	34460	13178	50623	204593
6115	73340	7234	12313	21058	73340
8001	469193	86471	73807	175125	469193
8003	16253	3168	3031	6897	16253
8005	607070	148365	109638	281658	607070
8007	12194	2489	4234	7290	12194
8009	3682	278	1716	2107	3682
8011	5688	581	1166	1892	5688
8013	310048	124715	38766	176735	310048
8014	59471	19530	14272	37342	59471
8015	18510	4773	5283	10999	18510
8017	1890	127	905	1076	1890
8019	9031	2585	2426	5532	9031
8021	8277	1753	1885	3970	8277
8023	3518	1109	581	1820	3518
8025	5322	336	1069	1511	5322
8027	4285	797	2059	3064	4285
8029	30483	4048	11584	16661	30483
8031	649495	174611	43637	232291	649495
8033	2029	227	936	1230	2029
8035	305963	67045	100178	182918	305963
8037	52460	12652	8153	22611	52460
8039	23733	3056	11536	15689	23733
8041	655044	105807	176506	313273	655044
8043	46451	5275	15066	21880	46451
8045	57302	11205	13071	26328	57302
8047	5601	1634	1564	3574	5601
8049	14289	3319	4467	8513	14289
8051	15507	5068	3250	9299	15507
8053	813	197	339	589	813
8055	6519	1631	1875	3772	6519
8057	1365	171	628	862	1365
8059	551798	151885	130233	309529	551798
8061	1423	91	726	853	1423
8063	8037	526	2894	3613	8037
8065	7306	1600	1264	3175	7306
8067	53284	15300	12471	30722	53284
8069	315988	92170	82624	193897	315988
8071	14446	2614	3656	6693	14446
8073	5430	399	1873	2402	5430
8075	22450	1843	7272	9702	22450
8077	147554	20958	48129	74876	147554
8079	721	237	344	652	721
8081	13103	874	5293	6510	13103
8083	25642	3920	7771	12706	25642
8085	40713	5438	14303	21070	40713
8087	28404	3128	8104	11888	28404
8089	18703	1719	2988	5038	18703
8091	4557	1690	1337	3287	4557
8093	16121	3351	6053	10245	16121
8095	4356	436	1791	2332	4356
8097	17379	7239	2522	10387	17379
8099	12291	1173	3508	4978	12291
8101	161451	27945	27746	60112	161451
8103	6807	433	2782	3436	6807
8105	11803	1985	3060	5488	11803
8107	23513	7487	5149	13772	23513
8109	6208	1345	1109	2707	6208
8111	692	265	215	506	692
8113	7678	2960	1030	4311	7678
8115	2360	267	1015	1364	2360
8117	28649	9502	5064	16061	28649
8119	23275	3547	9580	14203	23275
8121	4803	289	2284	2708	4803
8123	269785	45869	75882	133790	269785
8125	10151	701	3755	4664	10151
9001	939904	238723	155457	410279	939904
9003	898272	233789	147912	399219	898272
9005	186924	39836	53376	97434	186924
9007	165562	45306	38847	88402	165562
9009	862287	203601	158373	375909	862287
9011	274150	62951	54574	124527	274150
9013	151377	38450	33989	77069	151377
9015	117604	21776	25738	50703	117604
10001	169416	33347	36989	74253	169416
10003	549684	162905	85507	261468	549684
10005	206649	39329	62607	105814	206649
11001	646449	260223	11553	280272	646449
12001	253451	75370	46584	127827	253451
12003	27013	2112	10294	12634	27013
12005	174987	21689	62010	87151	174987
12007	26850	2924	8913	12098	26850
12009	550823	119525	181620	314337	550823
12011	1838844	546956	258521	822837	1838844
12013	14682	1236	4647	6067	14682
12015	164736	33421	60196	96323	164736
12017	139271	22765	54377	79590	139271
12019	196399	27768	74898	106363	196399
12021	339642	60941	105297	170505	339642
12023	67543	7599	20359	28696	67543
12027	34517	3761	6744	10761	34517
12029	15940	1270	5822	7202	15940
12031	885855	203627	210061	428734	885855
12033	305817	57114	88370	151609	305817
12035	99956	21985	33804	57413	99956
12037	11598	1738	4119	6003	11598
12039	46194	14994	6721	22079	46194
12041	16931	1457	6740	8418	16931
12043	13345	1271	2996	4355	13345
12045	15829	1715	5320	7279	15829
12047	14354	1899	3439	5451	14354
12049	27519	2147	5238	7577	27519
12051	37471	4610	6192	11106	37471
12053	174441	31818	59029	93878	174441
12055	97616	14901	29509	45589	97616
12057	1291578	306422	265928	595072	1291578
12059	19717	852	7476	8506	19717
12061	141994	28997	48564	79897	141994
12063	48922	6383	14231	20997	48922
12065	14194	3537	3930	7641	14194
12067	8848	515	2795	3375	8848
12069	308034	62597	101888	169898	308034
12071	661115	124725	191141	325797	661115
12073	281845	91936	53777	151925	281845
12075	39644	5091	13758	19367	39644
12077	8349	651	2542	3295	8349
12079	18728	3526	4849	8503	18728
12081	342106	71066	101681	178521	342106
12083	337362	61958	107710	174485	337362
12085	151263	30158	53182	85741	151263
12086	2617176	623006	333666	978670	2617176
12087	76351	18949	21885	42434	76351
12089	75710	10849	34221	46537	75710
12091	193811	23711	71788	100657	193811
12093	39330	3953	9342	13632	39330
12095	1225267	329579	195091	545800	1225267
12097	298504	85287	50252	139981	298504
12099	1372171	371411	270762	657235	1372171
12101	475502	89998	141943	240814	475502
12103	929048	233327	238746	491520	929048
12105	623009	117182	157216	283828	623009
12107	72577	9920	21873	32652	72577
12109	209647	43037	88633	136392	209647
12111	286832	66812	70248	140731	286832
12113	161096	18398	65126	87432	161096
